,author_num_games_owned,author_num_reviews,author_playtime_forever
count,100000.0,100000.0,100000.0
mean,475.54,202.59,970.71
std,1400.87,646.17,17008.4
min,0.0,1.0,0.0
1%,0.0,1.0,0.0
5%,0.0,1.0,0.0
25%,0.0,6.0,0.0
50%,15.0,23.0,56.0
75%,342.0,100.0,236.0
95%,2172.0,994.0,1699.05
99%,6572.01,3906.0,9768.09
max,33484.0,11141.0,1668966.0
