,votes_up,votes_funny,comment_count
count,100000.0,100000.0,100000.0
mean,4.8,0.77,0.16
std,24.33,10.12,1.41
min,0.0,0.0,0.0
50%,1.0,0.0,0.0
75%,4.0,0.0,0.0
95%,18.0,3.0,1.0
99%,56.0,11.0,4.0
max,2789.0,1609.0,279.0
